cycle,branch,state,forecastdate,candidate,win_prob_lite,win_prob_classic,win_prob_deluxe
2018,Senate,AZ,11/6/2018,Martha McSally,0.370,0.262,0.2891
2018,Senate,AZ,11/5/2018,Martha McSally,0.3732,0.2706,0.2993
2018,Senate,AZ,11/4/2018,Martha McSally,0.3886,0.2709,0.2988
2018,Senate,AZ,11/3/2018,Martha McSally,0.4066,0.2731,0.303
2018,Senate,AZ,11/2/2018,Martha McSally,0.4141,0.2707,0.2995
2018,Senate,AZ,11/1/2018,Martha McSally,0.4182,0.2745,0.3031
2018,Senate,AZ,10/31/2018,Martha McSally,0.3813,0.2715,0.2991
2018,Senate,AZ,10/30/2018,Martha McSally,0.3333,0.276,0.3083
2018,Senate,AZ,10/29/2018,Martha McSally,0.344,0.2719,0.3036
2018,Senate,AZ,10/28/2018,Martha McSally,0.3393,0.2715,0.3026
2018,Senate,AZ,10/27/2018,Martha McSally,0.3617,0.2671,0.2976
2018,Senate,AZ,10/26/2018,Martha McSally,0.361,0.2621,0.2952
2018,Senate,AZ,10/25/2018,Martha McSally,0.3629,0.2629,0.2948
2018,Senate,AZ,10/24/2018,Martha McSally,0.3581,0.2665,0.2998
2018,Senate,AZ,10/23/2018,Martha McSally,0.3446,0.2709,0.3032
2018,Senate,AZ,10/22/2018,Martha McSally,0.3373,0.2792,0.3119
2018,Senate,AZ,10/21/2018,Martha McSally,0.3461,0.2819,0.3194
2018,Senate,AZ,10/20/2018,Martha McSally,0.3471,0.2828,0.3174
2018,Senate,AZ,10/19/2018,Martha McSally,0.3546,0.303,0.3387
2018,Senate,AZ,10/18/2018,Martha McSally,0.393,0.3038,0.3374
2018,Senate,AZ,10/17/2018,Martha McSally,0.3571,0.2968,0.333
2018,Senate,AZ,10/16/2018,Martha McSally,0.3364,0.3039,0.3388
2018,Senate,AZ,10/15/2018,Martha McSally,0.3419,0.2987,0.3357
2018,Senate,AZ,10/14/2018,Martha McSally,0.3421,0.3044,0.341
2018,Senate,AZ,10/13/2018,Martha McSally,0.3708,0.3066,0.3414
2018,Senate,AZ,10/12/2018,Martha McSally,0.3665,0.3019,0.3371
2018,Senate,AZ,10/11/2018,Martha McSally,0.3819,0.3002,0.3388
2018,Senate,AZ,10/10/2018,Martha McSally,0.3425,0.2864,0.3249
2018,Senate,AZ,10/9/2018,Martha McSally,0.3134,0.2764,0.3147
2018,Senate,AZ,10/8/2018,Martha McSally,0.3251,0.2603,0.3022
2018,Senate,AZ,10/7/2018,Martha McSally,0.3261,0.2599,0.3
2018,Senate,AZ,10/6/2018,Martha McSally,0.3519,0.2587,0.2991
2018,Senate,AZ,10/5/2018,Martha McSally,0.3464,0.2684,0.3074
2018,Senate,AZ,10/4/2018,Martha McSally,0.354,0.2639,0.3042
2018,Senate,AZ,10/3/2018,Martha McSally,0.3111,0.2659,0.3061
2018,Senate,AZ,10/2/2018,Martha McSally,0.3038,0.2627,0.3032
2018,Senate,AZ,10/1/2018,Martha McSally,0.3065,0.3593,0.3722
2018,Senate,AZ,9/30/2018,Martha McSally,0.2864,0.3766,0.3788
2018,Senate,AZ,9/29/2018,Martha McSally,0.2851,0.38,0.3812
2018,Senate,AZ,9/28/2018,Martha McSally,0.2877,0.3706,0.371
2018,Senate,AZ,9/27/2018,Martha McSally,0.2786,0.3711,0.3706
2018,Senate,AZ,9/26/2018,Martha McSally,0.2877,0.3586,0.3646
2018,Senate,AZ,9/25/2018,Martha McSally,0.2877,0.3326,0.3416
2018,Senate,AZ,9/24/2018,Martha McSally,0.2731,0.3357,0.3447
2018,Senate,AZ,9/23/2018,Martha McSally,0.2741,0.3382,0.3489
2018,Senate,AZ,9/22/2018,Martha McSally,0.2701,0.3333,0.3439
2018,Senate,AZ,9/21/2018,Martha McSally,0.2715,0.3344,0.3452
2018,Senate,AZ,9/20/2018,Martha McSally,0.2721,0.3063,0.3261
2018,Senate,AZ,9/19/2018,Martha McSally,0.2787,0.3059,0.3276
2018,Senate,AZ,9/18/2018,Martha McSally,0.2828,0.3079,0.3342
2018,Senate,AZ,9/17/2018,Martha McSally,0.2816,0.3016,0.3274
2018,Senate,AZ,9/16/2018,Martha McSally,0.3179,0.3007,0.3254
2018,Senate,AZ,9/15/2018,Martha McSally,0.3159,0.2991,0.324
2018,Senate,AZ,9/14/2018,Martha McSally,0.3202,0.304,0.3296
2018,Senate,AZ,9/13/2018,Martha McSally,0.3186,0.3038,0.3302
2018,Senate,AZ,9/12/2018,Martha McSally,0.3152,0.3167,0.3384
2018,Senate,AZ,9/11/2018,Martha McSally,0.3877,0.3155,0.3396
2018,Senate,AZ,9/10/2018,Martha McSally,0.358,0.307,0.3316
2018,Senate,AZ,9/9/2018,Martha McSally,0.3597,0.3157,0.3435
2018,Senate,AZ,9/8/2018,Martha McSally,0.3633,0.3146,0.3416
2018,Senate,AZ,9/7/2018,Martha McSally,0.3618,0.3144,0.3419
2018,Senate,AZ,9/6/2018,Martha McSally,0.3207,0.3332,0.3602
